fa,la
Harlan M. Krumholz,Harlan M. Krumholz
Akinori Sato, Yoshifusa Aizawa
Joelle S. Dobson, Joseph Kado
Alexander Yanovski, Cirigliano Michael
Lothar Faber, Barbara Lamp
Fei Fang, Yong Xu
E. Vaughan-Huxley, Colin Bicknell
Kibar Yared, Aaron L. Baggish
Subhasis Chatterjee, Ted Feldman
Marion Gayard, Malvyne Rolli-Derkinderen
Takeshi Sasaki, Saman Nazarian
Pedro A. Lemos, Vera Demarchi Aiello
Jason C. Schultz, Demetris Yannopoulos
Patricia K. Nguyen, Michael V. McConnell
Tommaso Gori, Thomas Münzel
An Pan, Kathryn M. Rexrode
Ricardo Castro-Ferreira, Adelino F. Leite-Moreira
Margaret C. Fang, Daniel E. Singer
Waldemar F. Carlo, Timothy C. Slesnick
Brent M. Egan, Daniel T. Lackland
Kevin C. Maki, John W. Marshall
Jennifer Chen, Itzhak Kronzon
Jens Brock Johansen, Jens Cosedis Nielsen
Angela Koutsokera, Konstantinos Kostikas
Dennis Jones, Wang Min
Saran Shantikumar, Costanza Emanueli
Sergiy M. Nadtochiy, Paul S. Brookes
David R. Meldrum, Louis J. Ignarro
Joanna Chikwe, David H. Adams
Heinz-Peter Schultheiss, Leslie T. Cooper
Li-Zhong Sun, Jun Zheng
William M. Suh, Ik-Kyung Jang
Stevo Julius, Nevres Koylan
Kwang Kon Koh, Eak Kyun Shin
Sanjay Cherian, Mustafa Cikirikcioglu
Christian Ukena, Michael Böhm
Patrizia Camelliti, Cesare M. Terracciano
Vaibhav Moondra, Mark L. Greenberg
William A. Fischer, Lonny Yarmus
Koichi Inoue, Kenshi Fujii
Ariel Roguin,Ariel Roguin
Simon Maltais, Soon J. Park
Christian L. Gilbert, William M. Novick
Guliz Kozdag, Dilek Ural
Sumche Man, Cees A. Swenne
Weili Zhang, Douglas L. Mann
Adam D. Gepner, James H. Stein
Alper Ucak, Ahmet Turan Yilmaz
Peyman Bahmani, Andreas Wunder
Peter J. Schwartz,Peter J. Schwartz
Nina Ghosh, Benjamin J.W. Chow
Linda D. Bobo, Marin H. Kollef
Hoang M. Lai, Robert N. Belkin
Gian Mauro Manzoni, Riccardo Proietti
Ken Catchpole,Ken Catchpole
Hany Dimitri, Prashanthan Sanders
X.X. Liu, Rutai Hui
Lieveke A. R. Degen, Gabriel J.E. Rinkel
Miguel Valdivia y Alvarado, Stephen T. C. Wong
Christopher P. Baines,Christopher P. Baines
Jonathan G. Howlett,Jonathan G. Howlett
Steven D. Nathan, Roland M. du Bois
Robert G. Kelly,Robert G. Kelly
Jonathan F. Will,Jonathan F. Will
Mary G. Carey, Bernice C. Yates
Jan-Thorsten Gräsner, Matthias Fischer
Renato D. Lopes, Eric D. Peterson
John W. Brown, Mark W. Turrentine
Santosh K. Padala, Paul D. Thompson
A. Tuinenburg, Roger E. G. Schutgens
Pierre-Emmanuel Séguéla, Philippe Acar
Marvin J. Slepian, John A. Rogers
Benoit Viollet, Marc Foretz
Christoph Gumbinger, Peter A. Ringleb
Keiko Danzaki, Toshimitsu Uede
Saskia Schlossarek, Lucie Carrier
Mareike B. Weil, Lars S. Maier
Mário Santos, Severo Torres
Spencer J. Melby, Ralph J. Damiano
Paolo Palatini, Gianfranco Parati
Lisa A. Lesniewski, Douglas R. Seals
Alberto Zangrillo, Giovanni Landoni
Sasaki Takahiko, Mutsuo Yamaya
Martha N. Hill, Michael A. Weber
Joseph J. Gard, Hector I. Michelena
Zachary M. Gertz, Frank E. Silvestry
María Elena Soto, Pedro A. Reyes
Robert K. Riezebos,Robert K. Riezebos
Daniel B. Sims, Ulrich P. Jorde
Jasper J. Brugts, A.H. Jan Danser
Tanya M. Holloway, Adrienne H. Kovacs
Yoshihiro Seo, Kazutaka Aonuma
A. C. Zomer, Barbara J.M. Mulder
Amrut V. Ambardekar, Peter M. Buttrick
Jamie E. Laubisch, W. Reid Thompson
Kewal Krishan, Anelechi C. Anyanwu
Guillaume Jondeau, Catherine Boileau
Gideon Charach, Pavel Rabinovich
Mubin I. Syed, Kamal Morar
Mustafa Dohadwala, Mark S. Link
Pertti K. Suominen, Risto O. Roine
So Ueda, Tsutomu Imaizumi
Mirjam Wit, Victor A. Umans
Tine V. Karlsen, Helge Wiig
Michael Bauer, Ronglih Liao
Franz X. Kleber, Bruno Scheller
Jarbas J Dinkhuysen, Paulo Chaccur
Shen Yu-Qin, Li Guang-He
Josef Stehlik, Marshall I. Hertz
Anouk W. Vaes, Martijn A. Spruit
Salvatore Brugaletta, Patrick W. Serruys
Federico Perfetto, Francesco Cappelli
M. Louisa Antoni, Victoria Delgado
Andrea Frustaci, Cristina Chimenti
Kelly M. Nakamura, Paul W. Wennberg
Giuseppe D'Ancona, Roland Hetzer
Maria Borrell-Pages, Lina Badimon
Jidong Sung, Kyung Pyo Hong
Giacomo D. Simonetti, Elke Wühl
Etienne Gayat, Roberto M. Lang
Natnicha Kanlop, Nipon Chattipakorn
Michael Magro, Patrick W. Serruys
Steven J. Bailin, Craig J. Hoffman
Jeroen Bakkers,Jeroen Bakkers
Aditya Bhonsale, Hugh Calkins
Laura A. Ortmann, Chris Parshuram
Ralph J. Frascone, Joshua G. Salzman
Caroline S. Fox, Stephen D. Wiviott
O.M. Drapkina, V.T. Ivashkin
Eric Bruckert, Pierre Amarenco
Carla Giustetto, Fiorenzo Gaita
John-Paul Carpenter, Dudley J. Pennell
Itziar Abete, José Alfredo Martínez
Kevin Damman, Hans L. Hillege
Marc Blondon, David L. Veenstra
Eva van Rooij,Eva van Rooij
Sara Öberg, Anastasia Iliadou
Renata Micha, Dariush Mozaffarian
Anders G. Olsson, Terje R. Pedersen
Marc Liesa, Orian S. Shirihai
Shelley Shapiro, Robyn J. Barst
Hasan Kadi, Semsettin Sahin
David A Fried, Benjamin S. Abella
Mariko L. Ishimori, C. Noel Bairey Merz
Steven J. Keteyian,Steven J. Keteyian
Michael Lichtenauer, Hendrik Jan Ankersmit
Marcello Disertori, Aldo P. Maggioni
Miguel A. Martínez-González, Maira Bes-Rastrollo
Daniel B. Kramer, Paul S. Mueller
Michael H. Kim, Kathy L. Schulman
Kasper Adelborg, Bo Løfgren
Christiane E. Angermann, Georg Ertl
Hyun Sun Won, Jeong Bae Park
Erick D. McNair, Kailash Prasad
B. Daan Westenbrink, Imagine Investigators
Christoph Varenhorst, Stefan James
Adriano R. Tonelli, Raed A. Dweik
Kristen Sipsma, Michele Plorde
Can Yerebakan, Gustav Steinhoff
Padma Kaul, Hude Quan
Hongfu Li, Changlian Zhu
Lukasz Krokowicz, Maria Siemionow
Giuseppe Biondi-Zoccai, Maria Grazia Modena
Jessie S. Truettner, W. Dalton Dietrich
Bingyang Ji, Cun Long
Young Guk Ko, Myeong Ki Hong
Stephen H. Gilbert, Aleksandra Radjenovic
Jakub J. Regieli, J. Wouter Jukema
Aboli A. Rane, Karen L. Christman
Bernhard Bischoff, Jörg Hausleiter
Mohamed Ameen Ismahil, Sumanth D. Prabhu
Taishi Kuwahara, Kazutaka Aonuma
Sebastian Koch, Miguel A. Perez-Pinzon
Vijay Nambi, Christie M. Ballantyne
Mardi Gomberg-Maitland, Raymond L. Benza
Shashikala G Veerabhadrappa, Surekharani Chinagudi
Leonardo Tamariz, Joshua M. Hare
Hena R. Ramay, Eric A. Sobie
Shannon Manning,Shannon Manning
Saskia Middeldorp,Saskia Middeldorp
Beth A. Parker, Paul D. Thompson
Rebecca R. Laposa,Rebecca R. Laposa
Rachel R. Huxley, Mark Woodward
Camille E. Powe, S. Ananth Karumanchi
Jae Suk Yoo, Seung Hwa Choi
Rajesh Katare, Paolo Madeddu
Virginia Lucy Priest, Thomas H. Marwick
Pramook Mutirangura, Khamin Chinsakchai
Won Young Lee, Ki Chul Sung
Satoru Sumitsuji, Fumiaki Ikeno
Thomas Münzel, Tommaso Gori
Hongyu An, Weili Lin
Francisco Campos, José Castillo
Evan L. Thacker, David S. Siscovick
Marianne E. Gee, Robert P. Nolan
Javier Escaned, Nieves Gonzalo
Emanuele Romeo, Raffaele Calabrò
Jean E. Vance, Kyle B. Peake
Anne K. Soutar,Anne K. Soutar
Alessandro Colombo, Rosaria Giordano
Matthew Kahn, Stephen B. Wheatcroft
Hong Wang, Jian-Jun Li
Andreas P. Kalogeropoulos, Vasiliki V. Georgiopoulou
Agnes S Kim, Lawrence H. Young
Franz H. Messerli, Peter Sleight
Thomas Dorner, Anita Rieder
Robert Krysiak, Bogusław Okopień
Ludovic Gomez, Edward J. Lesnefsky
Neil A. Smart, Francesco Giallauria
Andrew P. Blaber, Mahmood S. Kassam
Andrew W. Teh, Jonathan M. Kalman
Keun-Sik Hong, Jeffrey L. Saver
Gregg W. Stone, Platinum Trial Investigators
Young-Min Kim, Clifton W. Callaway
Nicole B. Gabler, Scott D. Halpern
Sony Jacob, Sinoj K. John
Petros S. Dardas, Efstratios K. Theofilogiannakos
Gerasimos Filippatos, Ali Ahmed
Murray A. Mittleman, Elizabeth Mostofsky
Jinyoung Shin, Duk-Chul Lee
Dwight A. Towler, Linda L. Demer
Theo Kofidis, A. Haverich
P. Giordana, C. Raffaelli
Sally Aldous, Mark Richards
James A. Goldstein, Gilbert L. Raff
Matthew M. Orde, Johan Duflou
Ahmadreza Jodati, Babak Kazemi
Tung Han Hsieh, Liang Miin Tsai
Stephan von Haehling, Stefan D. Anker
W. Ben Johnson, Rick D. McVenes
Xue Ming, George C. Wagner
Sivarajan Kumarasamy, Alok Gupta
Isabelle Opitz, Walter Weder
Jared W. Magnani, Emelia J. Benjamin
Daniela Fraccarollo, Johann Bauersachs
Søren Lindberg, Jan Skov Jensen
Christina-Maria Kastorini, Demosthenes B. Panagiotakos
Alessandro Capucci, Daniela Aschieri
Chad E. Wagner, John G. Byrne
Fatiha Bendadi, Matthias W. Freund
Ryan J. McDonough, Ahmad M. Slim
Brian G Kral, Lewis C. Becker
Nitin Kapur, Anne B. Chang
Xavier Carrillo, Antoni Bayes-Genis
Guy Valiquette,Guy Valiquette
Kate Karelina, A. Courtney DeVries
Enrique Diaz-Guzman, Alejandro C. Arroliga
Cecilia Grundtman, Georg Wick
Fadi Nahab, Michael A. Ross
Mario Sénéchal, Pierre Voisine
Dimitrios Alexopoulos, Aglaia Athanassiadou
Frederick E. Dewey, Euan A. Ashley
Ramez Reda Moustafa, Jean-Claude Baron
George J. Arnaoutakis, Ashish S. Shah
Jennifer E. Ho, Daniel I. Chasman
Michele Brunelli, J. Christoph Geller
Rosa Dalmau, Josep M Pepió
Gioel Gabrio Secco, Carlo Di Mario
Syed Wamique Yusuf, Iyad N. Daher
William J. Brady, Robert E. O'Connor
,
Daniel L. Dries,Daniel L. Dries
Thomas M Hemmen, Rema Raman
Mattia Glauber, Pier Andrea Farneti
John K. French, Kenneth W. Mahaffey
Jonathan Golledge, Paul Norman
Kenji Uno, Hideki Katagiri
Daniel Sabater-Hernández, María José Faus
Peter Damman, Robbert J. de Winter
Neil A. Smart, Michael Steele
Amar Krishnaswamy, Brian P. Griffin
Hala Mahfouz Badran, Magdi H. Yacoub
Priscila Ramos-Mozo, José Luis Martín-Ventura
Carolina Gálvez-Montón, Antoni Bayes-Genis
Peter M. Okin, Richard B. Devereux
Smita R. Jategaonkar, Nikolaus A. Haas
Thomas G. V. Cherpanath, Berto J. Bouma
Qi Chen, Yang Li
Cai-Mei Zhang, Huang-Tian Yang
Ahmed El-Damaty, John L. Sapp
Craig Nesbitt, Gerard Stansby
David R. Owens, Martin Keech
J Campbell, H Skinner
David L.S. Morales, Charles D. Fraser
Marc Hartmann, C. von Birgelen
Toni Terry, Peter D. Reaven
Alessandra Stangherlin, Manuela Zaccolo
Eugene Braunwald,Eugene Braunwald
Gregory A. Nichols, A. Gabriela Rosales
Alan S. Maisel,Alan S. Maisel
David Glineur, Claude Hanet
Michael Katsnelson, Tatjana Rundek
Jean-Baptiste Michel, Gerard Pasterkamp
Hosam Hasan-Ali, Alaa A Abd-Elsayed
Weili Zhang, Rutai Hui
Chih Chieh Wu, Tzung Chi Huang
Takuji Toyama, Masahiko Kurabayashi
Sébastien P.J. Krul, Joris R. de Groot
Gregory K. Feld, Ganiyu Oshodi
Soon Yong Suh, Myung Ho Jeong
Henry D. Huang, Yochai Birnbaum
Ailsa M Cameron, Helen Thorp
Kassem Harris, Dany Elsayegh
Howard A. Cooper, Julio A. Panza
Oliver Gaemperli, Paolo G. Camici
Matthew L. Springer, Xiaoyin Wang
Takahide Takeda, Ryuzo Sakata
Bertram Pitt, I-Zu Huang
Leslee J. Shaw, Gary V. Heller
Jawdat Abdulla, Klaus F. Kofoed
Alain Kalmar, Koenraad G. Monsieurs
Goran Loncar, Vera Popovic
Hassan Chami, Daniel J. Gottlieb
Seiko Ohno, M. Horie
Sushmita Pamidi, Babak Mokhlesi
Hessel F. Groenveld, Race Investigators
John M. Simpson, F. J. Meijboom
Raul Millan, Armando Bethencourt
Fausto Biancari, Tatu Juvonen
Michał Ciszewski, Witold Rużyłło
David M. Smadja, Pascale Gaussem
Russell S. Scott, Anthony C Keech
A. Phillip Owens, Alan Daugherty
Seshadri Raju, Peter Neglén
Angelo Scuteri, Stéphane Laurent
Eric Bruckert, David Rosenbaum
Prasanna Krishnamurthy, Raj Kishore
Halvor Naess, Fredrik Romi
Serena Tonstad, Gary E. Fraser
Kenneth R. Chapman, Benjamin Kramer
I J Tsai, A Barden
Roger Fan, Sei Iwai
Prabashni Reddy, Robert P. Giugliano
Samir Gupta, Marie E. Faughnan
Hyeon Cheol Gwon, Hyo-Soo Kim
Patrycja Nowak-Sliwinska, Georges Wagnières
Eleonora Grandi, Donald M. Bers
William S. Weintraub, Laurie P. Whitsel
Sang Jin Ha, Kwon Sam Kim
Feng J. He, Graham A. MacGregor
Ajay K. Kakkar, Alexander G.G. Turpie
Takeshi Kimura, Kazuaki Mitudo
Ramiro J. Zepeda, Ana María Ronco
Maryanne Hartzell, Malissa J. Wood
Jaume Roquer, José Castillo
Enrique Soto‐Pérez‐de‐Celis,Enrique Soto‐Pérez‐de‐Celis
Ruth E. Taylor-Piliae, Stephen P. Fortmann
Mervyn D.I. Vergouwen, R. Loch Macdonald
Paolo Scacciatella, Sebastiano Marra
Peter Danyi, Ion S. Jovin
Juan C. Grignola,Juan C. Grignola
Carl J. Lavie, Hector O. Ventura
Efe Ozkan, Sanjay Gupta
Pierre-Julien Moro, Régis Guieu
Ryo Yoshimoto, Tatsuya Sawamura
Sabine Fitzek, Clemens Fitzek
Anthony J. Furlan,Anthony J. Furlan
Thomas Kampfrath, Sanjay Rajagopalan
Siobhan M. Craige, John F. Keaney
Pavan Atluri, Mariell Jessup
D G Bratt, T J A Chico
Daniel M. Johnson, Paul G.A. Volders
Juliane Bolbrinker, Reinhold Kreutz
Hiram G. Bezerra, Udo Hoffmann
Hyunjung Kim, Dae Chul Suh
David J. Krodel, Matthias Eikermann
Sahar S. Abdelmoneim, Sharon L. Mulvagh
Toru Kinugawa, Michael L. Smith
Willi Jahnen-Dechent, Markus Ketteler
David H. MacIver,David H. MacIver
Marco Magnoni, Attilio Maseri
Aysun Altinbas, H. Bart van der Worp
Noboru Toda, Sadanobu Nakanishi
Daniel Flammang, Atp Multicenter Study.
Chi-Chung Wang, Teng-Yi Huang
Antonino De Lorenzo, Laura Di Renzo
Paul R. Krafft, John H. Zhang
Qianhong Li, Roberto Bolli
Robert D. Sanders, Hilary P. Grocott
Wolfgang A. Wetsch, Jochen Hinkelbein
Redford B. Williams,Redford B. Williams
Louis Kolman, Melvyn Rubenfire
Russell R. Heath, Ryan G. Aleong
Pamela S. Douglas, Eric D. Peterson
Patty W. Siri-Tarino,Patty W. Siri-Tarino
Taka-aki Nakada, Keith R. Walley
Dongfang Wang, Joseph B. Zwischenberger
Michael W. Donnino, Clifton W. Callaway
Daniel B. Kramer, Robert G. Hauser
Zhitong Zou, Martin R. Prince
Constantinos O'Mahony, Perry M. Elliott
Dan Liu, Frank Weidemann
Leticia Martín-Cordero, Eduardo Ortega
Laxminarayan G Hegde, Sharath S. Hegde
Marco Metra, Livio Dei Cas
Gian Luigi Russo, Eugenio Picano
Maurice M. W. Nieuwenhuis, Trijntje Jaarsma
Hidehito Funahashi, Toyoaki Murohara
Belinda Gray, Christopher Semsarian
Finlay A. McAlister,Finlay A. McAlister
Eckhard Mayer, Philippe Dartevelle
Peter Neglén, Seshadri Raju
Weihua Guan, Susan C. Fagan
Andrew P. Dunatchik, Carlos A. Dujovne
Duane S. Pinto, C. Michael Gibson
Thomas D. Atwell, David E. Patterson
Markus Beitzke, Franz Fazekas
Nicole Habel, Peter S. Spector
Amrita X. Sarkar, Eric A. Sobie
Jan Fiedler, Thomas Thum
David Tamborero, Lluís Mont
Satoshi Kaimoto, Hiroaki Matsubara
Kosmas I. Paraskevas, Athanasios D. Giannoukas
K. Miriam Elfstrom, Michael E. Halkos
Steven W. Copp, David C. Poole
Laurent Roten, Michel Haïssaguerre
Robert D. Reid, Andrew L. Pipe
Adrian V. Hernandez, Amir Moheet
Joseph J. Boyle, Dorian O. Haskard
Stephanie A. Stowell, Sara C. Miller
Adrian Cherney, Brian Head
Pasquale Cuccaro, Antonio Correra
Thomas G. Brott, Clyde W. Yancy
Roop Kaw, Nancy R. Foldvary-Schafer
Miia Holmström, Kirsi-Maria Susanna Lauerma
Birgit C. Donner, Klaus Schmidt
Claude S. Elayi, John C. Gurley
Christian Lewinter, Lars Køber
Janet B. McGill, Robert J. Gropler
null null,null null
E. E. van der Wall,E. E. van der Wall
Jeremy Kaplowitz, Peter J. Papadakos
Stefano Fumagalli, Luigi Padeletti
Mark A. Richards, Katharine M. Dibb
Hirohiko Ando, Toyoaki Murohara
Wael E. Saad, Michael D. Darcy
Saina Attaran, Brian M. Fabri
Hooman Kamel, Wade S. Smith
Anika M.S. Hartz, Felix Schlachetzki
Kim G. Jackson, Christine M. Williams
Dana E. King, Charles J. Everett
Andrea Lee, Mark Crowther
Mathieu Pernot, Mickael Tanter
Allan J. Walkey, Renda Soylemez Wiener
Serdar Toker, Steven J. Morgan
Raquel Barba, Manuel Monreal
Judson B. Williams, G. Chad Hughes
Christian Sohns, Markus Zabel
Theodoros Lillis, George D. Giannoglou
Elisabeth M. Battinelli,Elisabeth M. Battinelli
Tamas Bauernfeind, Tamas Szili-Torok
Ranjit John, Francis D. Pagani
Bülent Koca, Yalim Yalcin
Nisha Bansal, Joachim H. Ix
Wataru Koguchi, Toshihiko Ishimitsu
Tobias Deuse, Sonja Schrepfer
Oliver Gaemperli, Juhani Knuuti
Satish C. Govind, Samir K. Saha
Brajesh K. Lal, Peter J. Pappas
David J. Holland, Thomas H. Marwick
null null,null null
Jawahar L. Mehta, Tatsuya Sawamura
Eberhard Grube, Lutz Buellesfeld
Sung Po Hsu, Wen Sen Lee
Jwa-Kyung Kim, Young Rim Song
Desmond Bohn,Desmond Bohn
I Iskesen, B H Sirin
Aldo Clerico, Michele Emdin
Gemma Brufau, Folkert Kuipers
Neeraj Rastogi, Ducksoo Kim
Joseph V. Lombardi, Priya Bharadwaj
Augusto Ishy, Fábio Biscegli Jatene
Ludwina Szczepaniak-Chicheł, Andrzej Tykarski
Amy H. Kaji, James T. Niemann
Richard J. Rodeheffer,Richard J. Rodeheffer
Nikolaos P.E. Kadoglou, Christos D. Liapis
Javier Mariani, Carlos D. Tajer
Seung Hwan Han, Eak Kyun Shin
Pierre Boutouyrie, Annie Herbert
Lippincott Williams Wilkins,Lippincott Williams Wilkins
Lippincott Williams Wilkins,Lippincott Williams Wilkins
Hidenari Matsumoto, Yuji Hiraoka
Stephen Westaby, Adrian P. Banning
Lisa LeMond, Larry A. Allen
Patricia Jabre, Véronique L. Roger
Uffe Jakob Ortved Gang, Poul Erik Bloch Thomsen
Ure Mezu, Samir Saba
Chiara Giannarelli, Juan J. Badimon
Zeynep Özkan, Mustafa Oncel
Matthias J. Müller, Heike E. Schneider
Gautam Shrikhande, Rajeev Dayal
Jakob Raunsø, Morten Lock Hansen
J. Wells Askew, Michael K. O'Connor
Ashley A. Fitzgerald, Edward P. Havranek
Thomas S. Riles, Judith C. Lin
J. Jordan, J. Sperzel
Frank T. Edelmann, Burkert Pieske
Diana C. Dinh, Richard G. Ohye
Jonathan S. Williams, Nancy J. Brown
Nathan Robbins, Jack Rubinstein
Gert-Jan Mauritz, Anton Vonk-Noordegraaf
José M. Castellano, Vicenta Llorente-Cortés
Nikos Yiannakouris, Steve E. Humphries
Raymond W. Sy, Andrew D. Krahn
Atsumi Hamada, Mari Mori
Fabio Esposito, Russell S. Richardson
Kenneth Lau, Guy L. Weinberg
Krzysztof R. Gorny, Gina K. Hesley
Anselm Uebing, Hans-Heiner Kramer
Elena V. Kuklina, William M. Callaghan
Wayne L. Miller, Allan S. Jaffe
Aurelie Guiot, Frédéric Anselme
Leopoldo Pérez de Isla, Carlos Macaya
Akiko Ueda, Harumizu Sakurada
Annemieke C. Scholten, Catharina Jacoba Maria Doggen
Beatriz Vaquerizo, Jordi Brugera
Guillaume Leurent, Hervé Le Breton
Nirav Vora, Rishi Gupta
Syed Y. Ahsan, Anthony W.C. Chow
Louis J. Dell'Italia,Louis J. Dell'Italia
Raja R. Gopaldas, Faisal G. Bakaeen
Hans F. Dohmann,Hans F. Dohmann
Daniel I. Simon,Daniel I. Simon
Vimal Ramjee, Terry A. Jacobson
Ivor Kovic, Ileana Lulic
Uwe Dorwarth, Ellen Hoffmann
Zhongjun J. Wu, Bartley P. Griffith
Barbara Messner, David Bernhard
Joseph P. Broderick, Dawn Kleindorfer
Sarah T. Pendlebury, Peter M. Rothwell
David E. Winchester, Anthony A. Bavry
Jimmy Johannes, C. Noel Bairey Merz
Ayumi Goda, Lars Lund
Mandlenkosi Caswell Zatu, Aletta E. Schutte
Aimin Xu, Paul M. Vanhoutte
Catherine Marti, Javed Butler
Susheel Kodali, Martin B. Leon
Kenan W.D. Stern, David W. Brown
Felipe Atienza, Omer Berenfeld
Gaku Nakazawa, Renu Virmani
Ariane Galaup, Stéphane Germain
C Legeai, Jean Philippe Empana
Xiaobo Lin, Richard E. Ostlund
Boris S. Lowe, Ariane Marelli
Stefan K. Beckers, Jackie Younker
Ayesha C Qureshi, Ashley B. Grossman
John A. Ormiston, Mark W.I. Webster
Juan Pablo Aragon, David J. Lefer
Karsten Ruscher, Tadeusz Wieloch
Jingli Wang, Michael E. Widlansky
Seiichiro Matsuo, Michihiro Yoshimura
Valentin Fuster, L. Samuel Wann
Arminder S. Jassar, Benjamin M. Jackson
Ali Salavati, Paul Cronin
Masaru Seguchi, Shin-ichi Momomura
Stefan Wagner, Lars S. Maier
Alexandre Croquelois, Julien Bogousslavsky
Stephan Clasen, Philippe L. Pereira
Arsalan Aslani, Vahid Sobhani
Jarosław Zalewski, Frans Van de Werf
Giuseppe De Luca, Harry Suryapranata
Ingo Paetsch, Cosima Jahnke
Fadi G. Hage, Ami E. Iskandrian
Max B. Mitchell, Steven P. Goldberg
Mia Jaffe, David A. Dichek
H. Dirk Sostman, Victor F. Tapson
Mezbah U. Faruque, Adebowale Adeyemo
Youngjin Cho, Hyo-Soo Kim
Keith A. Thompson, Robert J. Siegel
Luke J. Lamers, James S. Tweddell
Ki Hong Lee, Kamir Investigators
Geert C. van Almen, Stephane Heymans
David Vivas, Antonio Fernández-Ortiz
Brian Lima, Lars G. Svensson
Ryo Sugiura, Nobuhisa Hagiwara
Ilan Goldenberg, Helmut U. Klein
Andrew J. Einstein,Andrew J. Einstein
Cecilia Garcia-Perez, György Csordás
Parla Astarci, Gebrine El Khoury
Jesper Schou, Anne Tybjærg-Hansen
Pascal Vranckx, Patrick W. Serruys
Mauro Maioli, Francesco Bellandi
Lisa D. Rathman, Roy S. Small
Ji Yeon Lee, Ho Il Yoon
Jeffery Meadows, Michael J. Landzberg
Marwan M. Refaat, William E. Katz
Sean van Diepen, Justin A. Ezekowitz
Yoichi Iwamoto, Hideaki Senzaki
Jasmin Arrich, Wilhelm Behringer
Mark S. Link, Sumeet S. Chugh
Ankit Bharat, Surendra Shenoy
Hyunjoo Lee, Chul Woo Kim
Matthew Needleman, Hugh Calkins
Giuseppe Biondi-Zoccai, Giuseppe Sangiorgi
Gerd Heusch, Matthias Thielmann
Takashi Ohori, Hiroshi Inoue
Daniel Duprez, Joseph L. Izzo
Kevin G. Friedman, Wayne Tworetzky
Garrick C. Stewart, Lynne W. Stevenson
Abbey Weith, David M. Warshaw
Haiqing Li, Qiang Zhao
Anson Cheung, Jia Lin Soon
Steven M Dean,Steven M Dean
Ernst R. Schwarz, Robert D Willix
Rachael A. Evans, Roger S. Goldstein
Javad Jabbari, Jesper Hastrup Svendsen
Suzanne V. Arnold, Paul S. Chan
Irfan Zeb, Matthew J. Budoff
Reginald Liew,Reginald Liew
Roop Kaw, Adrian F. Hernandez
Erica Romualdi, Walter Ageno
Hauke Fürstenwerth,Hauke Fürstenwerth
Dmytro Kornyeyev, Ariel L. Escobar
Kathryn Maiellaro-Rafferty, W. Robert Taylor
Brian B. Koo, Susan Redline
Dalei Wu, Christoph F.A. Vogel
Stephen L. Belmonte, Burns C. Blaxall
Guoquan Liu, Richard D. Minshall
Amy K. Wagner, Anthony Fabio
Harjit Chahal, Steven M. Kawut
Satoshi Kurisu, Yasuki Kihara
Curtis J. Wozniak, Craig H. Selzman
Timm Bauer, Anselm K. Gitt
Thomas Mengden, Peter Bramlage
Jess L. Thompson, Richard C. Daly
David W. Brown, Kathy J. Jenkins
Amalia Peix, Maurizio Dondi
M. Victoria Conde, Silvia M. Arribas
Peter Stone,Peter Stone
Mahesh Manne, Thomas G. Fraser
Clett Erridge,Clett Erridge
Avinash B. Kumar, Michele Tarasi
Ying Wei Lum, James H. Black
Suzanne de Waha, Holger Thiele
Françoise Dignat-George, Chantal M. Boulanger
Masaru Sakurai, Liancheng Zhao
Jamal Bouitbir, Joffrey Zoll
Li Wei, Xi-Yong Yu
Robert Roberts,Robert Roberts
Kellie R. Brown, Eva M. Rzucidlo
Min-Seok Kim, Jae-Joong Kim
Michael N. Sack,Michael N. Sack
Paresh A. Mehta, C. Aldo Rinaldi
Anja M. van der Laan, Jan J. Piek
Paul Muntner, Mark Woodward
Katsutaka Hashiba, Kazuo Kimura
Swati Srabani Nayak,Swati Srabani Nayak
Robert J. Korst, John R. Rutledge
Maria E. Litzendorf, Katherine E. Notter
C. Soeby-Land, Andreas Kjaer
İlknur Tolunay, Serdar Kula
Mohammed Sabri, R. Loch Macdonald
Michael Gotzmann, Andreas Mügge
John M. Karamichalis, Emile A. Bacha
Jun Xu, Joseph Walline
F. M. van de Sandt, Barbara J.M. Mulder
Freek W.A. Verheugt, Gregg W. Stone
Parham Eshtehardi, Davood Akhlagh Moayed
Deepmala Agarwal, Joseph Francis
Paul C. Lee, Nasser K. Altorki
Ying Wei Lum, James H. Black
Michael R. Mooney, William Parham
Man Deuk Kim, Jong Tae Lee
Filip Claes, Marc Tjwa
Gil Chernin, Donald S. Silverberg
Jose Rubio Alvarez, Cristian Delgado Dominguez
Andrew K. Kurklinsky, Thom W. Rooke
Ruvin Gabriel, Milind Y. Desai
NavYash Gupta, Michel S. Makaroun
Tochi M. Okwuosa, Donald M. Lloyd-Jones
Bruno Saubaméa, Jean-Michel Scherrmann
Masaaki Sato, Shaf Keshavjee
Masunori Matsuzaki, Masatake Fukunami
Hakuo Takahashi, Masato Nishimura
Nicolas Foin, Carlo Di Mario
John Rickard, Bruce L. Wilkoff
Anthony S. Gemignani, James A. Arrighi
Idit Yedidya, Eli I. Lev
Michael Haase, Anja Haase-Fielitz
Henricus J. Duckers, Patrick W. Serruys
D. J. Newton, Faisel Khan
Benjamin B. Lind, Chad Jacobs
Przemysław B. Radwański, Steven Poelzing
Rahim Kassamali, Domenic A. Sica
